ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet;FileDataID
..\..\..\..\khazmodan\ironforge\passivedoodads\signposts\ironforgesignpost.obj;-112.49728393554688;-58.65237808227539;-5.208471298217773;0.9855560660362244;0;0;-0.16934949159622192;1;Set_$DefaultGlobal;203213
..\..\..\..\khazmodan\ironforge\passivedoodads\signposts\ironforgesignpost.obj;-112.4004898071289;58.38362503051758;-5.208471298217773;0.13917312026023865;0;0;-0.9902680516242981;0.9999999403953552;Set_$DefaultGlobal;203213
..\..\..\..\khazmodan\ironforge\passivedoodads\signposts\ironforgesignpost.obj;-287.54302978515625;199.98390197753906;-5.208471298217773;0.7071068286895752;0;0;-0.7071067690849304;0.9999999403953552;Set_$DefaultGlobal;203213
..\..\..\..\khazmodan\ironforge\passivedoodads\signposts\ironforgesignpost.obj;-471.6853332519531;0.1069708913564682;-5.194484233856201;0.704014778137207;0;0;-0.7101852893829346;0.9999999403953552;Set_$DefaultGlobal;203213
..\..\..\..\khazmodan\ironforge\passivedoodads\signposts\ironforgesignpost.obj;-388.8106994628906;-11.140609741210938;-4.645526885986328;1;0;0;4.0894907016308935e-8;0.9999999403953552;Set_$DefaultGlobal;203213
..\..\..\..\generic\darkirondwarf\passivedoodads\crates\darkironcrate01.obj;-123.76698303222656;106.1370849609375;-5.288691997528076;0.9953961968421936;0;0;0.0958457663655281;0.7692307233810425;Set_$DefaultGlobal;197150
..\..\..\..\generic\darkirondwarf\passivedoodads\crates\darkironcrate01.obj;-126.06297302246094;104.83216094970703;-5.2244086265563965;0.9588197469711304;0;0;0.28401532769203186;0.6807352304458618;Set_$DefaultGlobal;197150
..\..\..\..\generic\dwarf\passivedoodads\barrels\dwarvenbarrel01.obj;-126.64846801757812;102.95732116699219;-5.234377384185791;1;0;0;0;1;Set_$DefaultGlobal;197238
..\..\..\..\generic\dwarf\passivedoodads\barrels\dwarvenbarrel01.obj;-123.73613739013672;108.12999725341797;-5.234377384185791;1;0;0;0;1;Set_$DefaultGlobal;197238
..\..\..\..\generic\dwarf\passivedoodads\barrels\dwarvenbarrel01.obj;-159.0110321044922;86.90852355957031;-5.235403537750244;0.8594064116477966;0;0;-0.5112931132316589;1;Set_$DefaultGlobal;197238
..\..\..\..\generic\dwarf\passivedoodads\barrels\dwarvenbarrel01.obj;-160.0472869873047;87.91897583007812;-5.235403537750244;0.8594064116477966;0;0;-0.5112931132316589;1.090000033378601;Set_$DefaultGlobal;197238
..\..\..\..\generic\dwarf\passivedoodads\barrels\dwarvenbarrel01.obj;-168.0821990966797;41.57210922241211;-5.321022033691406;0.8594064116477966;0;0;-0.5112931132316589;1;Set_$DefaultGlobal;197238
..\..\..\..\generic\darkirondwarf\passivedoodads\crates\darkironcrate01.obj;-169.9234161376953;41.56721496582031;-5.324439525604248;0.9953961968421936;0;0;0.0958457663655281;0.7692307233810425;Set_$DefaultGlobal;197150
..\..\..\..\generic\dwarf\passivedoodads\barrels\dwarvenbarrel01.obj;-167.4650115966797;-38.191009521484375;-5.406748294830322;0.07410841435194016;0;0;-0.9972501993179321;1;Set_$DefaultGlobal;197238
..\..\..\..\generic\darkirondwarf\passivedoodads\kegs\darkironkegwstand01.obj;-161.25379943847656;-26.859704971313477;-5.3835930824279785;0.972369909286499;0;0;-0.23344536125659943;0.6993007063865662;Set_$DefaultGlobal;197166
..\..\..\..\generic\darkirondwarf\passivedoodads\kegs\darkironkegwstand01.obj;-160.4158935546875;-25.014467239379883;-5.3835930824279785;0.972369909286499;0;0;-0.23344536125659943;0.6993007063865662;Set_$DefaultGlobal;197166
..\..\..\..\generic\darkirondwarf\passivedoodads\kegs\darkironkegwstand01.obj;-144.68955993652344;67.18666076660156;-5.3835930824279785;0.9713420867919922;0;0;0.2376859039068222;0.6993007063865662;Set_$DefaultGlobal;197166
..\..\..\..\generic\darkirondwarf\passivedoodads\kegs\darkironkegwstand01.obj;-144.016845703125;65.18122863769531;-5.3835930824279785;0.9713420867919922;0;0;0.2376859039068222;0.6993007063865662;Set_$DefaultGlobal;197166
..\..\..\..\generic\darkirondwarf\passivedoodads\crates\darkironcrate01.obj;-154.140625;145.1007843017578;-5.288691997528076;0.8890171647071838;0;0;0.4578739106655121;0.7692307829856873;Set_$DefaultGlobal;197150
..\..\..\..\generic\dwarf\passivedoodads\barrels\dwarvenbarrel01.obj;-152.4137725830078;144.33543395996094;-5.234377384185791;0.6360782384872437;0;0;0.7716245651245117;1;Set_$DefaultGlobal;197238
..\..\..\..\generic\dwarf\passivedoodads\barrels\dwarvenbarrel01.obj;-155.6869659423828;144.24755859375;-5.234377384185791;0.9044551849365234;0;0;0.4265686869621277;1.100000023841858;Set_$DefaultGlobal;197238
..\..\..\..\generic\dwarf\passivedoodads\barrels\dwarvenbarrel01.obj;-176.18614196777344;167.0311279296875;-5.234377384185791;0.9044551849365234;0;0;0.4265686869621277;1.100000023841858;Set_$DefaultGlobal;197238
